"filename", "language", "HTTP", "JavaScript", "Pug", "JSON", "Markdown", "CSS", "comment", "blank", "total"
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\lib\logger.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 2, 17
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\lib\map.js", "JavaScript", 0, 139, 0, 0, 0, 0, 1, 14, 154
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\lib\servicesFee.js", "JavaScript", 0, 234, 0, 0, 0, 0, 2, 30, 266
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\lib\servicesStatus.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 17, 114
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\lib\testfee.json", "JSON", 0, 0, 0, 481, 0, 0, 0, 1, 482
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\lib\utils.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 6, 36
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\lib\validation.js", "JavaScript", 0, 1211, 0, 0, 0, 0, 10, 199, 1420
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\package-lock.json", "JSON", 0, 0, 0, 6974, 0, 0, 0, 1, 6975
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\package.json", "JSON", 0, 0, 0, 44, 0, 0, 0, 1, 45
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\public\javascripts\order.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 6, 50
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\public\javascripts\staff.js", "JavaScript", 0, 10, 0, 0, 0, 0, 5, 4, 19
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\public\javascripts\staffsLogin.js", "JavaScript", 0, 29, 0, 0, 0, 0, 10, 5, 44
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\public\stylesheets\style.css", "CSS", 0, 0, 0, 0, 0, 7, 0, 2, 9
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\administrativeRoute.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\agenciesRoute.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 3, 38
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\authorizationRoute.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\businessRoute.js", "JavaScript", 0, 144, 0, 0, 0, 0, 0, 23, 167
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\containersRoute.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 3, 10
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\feeDebugger.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 3, 10
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\ordersRoute.js", "JavaScript", 0, 87, 0, 0, 0, 0, 1, 13, 101
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\otpPartnerStaffRoute.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 10, 45
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\otpRoute.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 15, 75
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\partnerStaffsRoute.js", "JavaScript", 0, 191, 0, 0, 0, 0, 0, 30, 221
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\scheduleRoute.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 4, 77
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\shipmentsRoute.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 16, 88
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\shippersRoute.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 2, 27
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\staffsRoute.js", "JavaScript", 0, 172, 0, 0, 0, 0, 0, 27, 199
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\transportPartnerRoute.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 13, 91
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\users.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 3, 10
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\usersRoute.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 14, 80
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\utils.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\routes\vehicleRoute.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 5, 65
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\administrativeService.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\agenciesService.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 14, 69
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\authorizationService.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 4, 19
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\businessService.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 14, 69
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\containersService.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 7, 26
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\ordersService.js", "JavaScript", 0, 164, 0, 0, 0, 0, 1, 32, 197
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\otpService.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\partnerStaffsService.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 9, 44
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\scheduleService.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 10, 49
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\shipmentsService.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 23, 127
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\shippersService.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 4, 23
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\staffsService.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 10, 48
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\transportPartnerService.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 8, 35
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\usersService.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 8, 31
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\services\vehicleService.js", "JavaScript", 0, 40, 0, 0, 0, 0, 2, 12, 54
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\supertest\agency.test.js", "JavaScript", 0, 10, 0, 0, 0, 0, 83, 7, 100
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\administrative.http", "HTTP", 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\agencyTest.http", "HTTP", 48, 0, 0, 0, 0, 0, 4, 11, 63
